"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1950",,,"553",,"553","0","142","0","95","0","64",,"18","0","9","0","138","0","58","0","148","0","4","0","-8","0,1228,+","9",",0,1129,+","6.0",",0,1125,","3.51",",0,0901,","91","0,0817,+","32","0,0924","27","0,1105","23","0,1110","17","0,1111","3","0,1123","29","0,0428","27","0,0415","21","0,0413","18","0,0319","6","0,0314","6153",,"6153","0","51.81",",0",,,"50.2",",0","48.3","0","57.9","0","38.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1951",,,"630",,"630","0","140","0","89","0","44",,"12","0","12","0","135","0","45","0","147","0","5","0","-17","0,0202,","9",",0,1220,+","4.2",",0,1214,","2.01",",0,0510,","98","0,0831,","29","0,0929","20","0,1102","20","0,1102","20","0,1102","13","0,1103","32","0,0423","28","0,0420","20","0,0326","20","0,0326","16","0,0322","6534",,"6534","0","42.65",",0",,,"36.5",",0","48.9","0","58.4","0","39.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1952",,,"891",,"891","0","125","0","80","0","11",,"6","0","0","0","142","0","31","0","144","0","29","0","5","0,0130,+","7",",0,0206,","7.7",",0,0206,","1.56",",0,0722,+","99","0,0629,","31","0,1003","28","0,1007","23","0,1020","20","0,1021","14","0,1128","32","0,0416","23","0,0411","23","0,0411","20","0,0315","11","0,0207","6227",,"6227","0","39.69",",0",,,"21.9",",0","51.0","0","60.7","0","41.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1953",,,"1015",,"1015","0","114","0","66","0","24",,"9","0","2","0","121","0","27","0","158","0","43","0","-2","0,0106,","5",",0,0217,","4.9",",0,0216,","2.13",",0,0303,","100","0,0902,+","30","0,1008","24","0,1105","24","0,1105","15","0,1215","15","0,1215","27","0,0421","27","0,0421","24","0,0419","18","0,0309","6","0,0308","5953",,"5953","0","26.04",",0",,,"28.4",",0","52.2","0","62.8","0","41.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1954",,,"969",,"969","0","133","0","75","0","17",,"4","0","0","0","138","0","25","0","152","0","30","0","3","0,0113,","3",",0,0226,+","4.2",",0,0204,","2.09",",0,1005,","103","0,0714,","31","0,1019","26","0,1031","24","0,1102","20","0,1203","12","0,1207","32","0,0510","25","0,0404","24","0,0403","20","0,0330","10","0,0306","5650",,"5650","0","41.97",",0",,,"23.8",",0","51.7","0","61.7","0","41.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1955",,,"1133",,"1133","0","122","0","76","0","36",,"11","0","7","0","129","0","42","0","165","0","45","0","-9","0,0129,","4",",0,0328,+","3.7",",0,0205,","2.40",",0,1006,","101","0,0704,","32","0,1024","27","0,1103","24","0,1107","19","0,1116","10","0,1127","32","0,0509","27","0,0408","10","0,0328","10","0,0328","10","0,0328","5772",,"5772","0","41.13",",0",,,"30.3",",0","51.5","0","62.1","0","41.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1956",,,"854",,"854","0","133","0","80","0","42",,"15","0","2","0","140","0","34","0","153","0","17","0","-1","0,0124,","5",",0,0202,+","4.5",",0,0119,","1.41",",0,0224,","99","0,0727,","31","0,1010","27","0,1109","24","0,1116","18","0,1117","16","0,1124","31","0,0424","26","0,0423","22","0,0325","18","0,0320","16","0,0317","6446",,"6446","0","31.95",",0",,,"42.3",",0","50.8","0","60.9","0","40.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1957",,,"751",,"751","0","133","0","74","0","43",,"8","0","4","0","139","0","32","0","144","0","11","0","-9","0,0116,","5",",0,0114,+","5.0",",0,0408,","3.88",",0,0809,","93","0,0720,+","32","0,1011","24","0,1109","24","0,1109","19","0,1110","15","0,1130","24","0,0415","24","0,0415","24","0,0415","14","0,0409","14","0,0409","5994",,"5994","0","43.24",",0",,,"32.7",",0","49.8","0","59.1","0","40.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1958",,,"570",,"570","0","137","0","62","0","40",,"3","0","13","0","138","0","54","0","150","0","1","0","-12","0,1210,","5",",0,1209,","4.5",",0,1208,","2.08",",0,0608,","90","0,0830,","32","0,1002","25","0,1107","19","0,1126","19","0,1126","16","0,1127","30","0,0430","28","0,0409","23","0,0323","9","0,0220","9","0,0220","6399",,"6399","0","34.05",",0",,,"20.9",",0","48.3","0","57.8","0","38.8","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","40.9705","-85.2063","241.1","1959",,,"1081",,"1081","0","151","0","81","0","37",,"10","0","7","0","136","0","39","0","155","0","21","0","-8","0,0105,","3",",0,1113,+","3.9",",0,1112,","3.21",",0,0625,","93","0,0823,","31","0,1018","22","0,1106","22","0,1106","17","0,1107","6","0,1117","30","0,0422","28","0,0413","21","0,0328","14","0,0322","14","0,0322","6482",,"6482","0","41.15",",0",,,"24.3",",0","50.6","0","60.2","0","41.1","0",,,,,,,,,,,,,,,,,,,,,,
