"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1950",,,"521",,"521","0","125","0","62","0","120",,"24","0","50","0","167","0","105","0","125","0","12","0","-24","0,0126,","16",",0,1212,+","7.5",",0,0125,","1.11",",0,0828,","96","0,0816,","32","0,1003","28","0,1025","20","0,1104","20","0,1104","12","0,1110","30","0,0501","27","0,0427","22","0,0414","18","0,0413","15","0,0319","8461",,"8461","0","21.63",",0",,,"73.3",",0","41.9","0","51.4","0","32.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1951",,,"457",,"457","0","130","0","72","0","127",,"24","0","46","0","160","0","103","0","125","0","4","0","-29","0,0130,+","27",",0,0318,","9.6",",0,0318,","1.61",",0,0720,","91","0,0715,","32","0,0928","26","0,1024","22","0,1027","18","0,1031","10","0,1101","31","0,0423","24","0,0417","24","0,0417","19","0,0325","6","0,0324","8595",,"8595","0","34.62",",0",,,"86.5",",0","42.0","0","50.7","0","33.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1952",,,"714",,"714","0","94","0","54","0","127",,"18","0","19","0","163","0","85","0","125","0","17","0","-22","0,0124,","16",",0,0323,","13.7",",0,0322,","1.40",",0,0322,","93","0,0721,+","29","0,1004","25","0,1005","23","0,1016","17","0,1110","14","0,1126","31","0,0415","25","0,0411","23","0,0410","14","0,0327","14","0,0327","8251",,"8251","0","23.71",",0",,,"67.2",",0","45.7","0","54.9","0","36.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1953",,,"858",,"858","0","113","0","61","0","97",,"12","0","18","0","151","0","77","0","136","0","15","0","-15","0,0116,","13",",0,0223,+","4.3",",0,0210,","2.00",",0,0627,","98","0,0618,","30","0,1028","25","0,1104","19","0,1105","19","0,1105","15","0,1204","29","0,0513","28","0,0419","21","0,0418","19","0,0417","13","0,0316","7860",,"7860","0","27.94",",0",,,"34.7",",0","46.9","0","56.4","0","37.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1954",,,"724",,"724","0","112","0","56","0","67",,"8","0","16","0","151","0","70","0","117","0","12","0","-25","0,0117,","7",",0,0314,+","6.4",",0,0312,","2.44",",0,0619,","95","0,0719,","29","0,1018","27","0,1029","21","0,1031","20","0,1130","15","0,1201","32","0,0508","26","0,0503","24","0,0408","9","0,0403","9","0,0403","7296",,"7296","0","23.71",",0",,,"28.8",",0","46.3","0","55.0","0","37.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1955",,,"1051",,"1051","0","115","0","47","0","123",,"15","0","39","0","152","0","105","0","147","0","31","0","-21","0,1219,+","11",",0,1231,+","4.0",",0,0218,+","3.00",",0,0707,","100","0,0728,+","32","0,1021","24","0,1102","24","0,1102","12","0,1113","12","0,1113","29","0,0407","27","0,0329","18","0,0328","18","0,0328","10","0,0327","7519",,"7519","0","21.15",",0",,,"46.5",",0","45.5","0","55.1","0","35.8","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1956",,,"716",,"716","0","109","0","53","0","102",,"6","0","25","0","160","0","85","0","123","0","11","0","-18","0,0120,","12",",0,0204,+","5.1",",0,1115,","2.39",",0,0802,","100","0,0613,","32","0,1009","27","0,1109","21","0,1115","13","0,1116","13","0,1116","29","0,0430","28","0,0428","24","0,0408","14","0,0324","14","0,0324","8637",,"8637","0","26.23",",0",,,"31.2",",0","45.1","0","54.6","0","35.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1957",,,"708",,"708","0","111","0","58","0","61",,"11","0","30","0","159","0","76","0","130","0","17","0","-13","0,0130,","10",",0,1119,","7.6",",0,1118,","2.03",",0,0813,","97","0,0719,+","32","0,1011","25","0,1025","17","0,1108","17","0,1108","15","0,1109","27","0,0414","27","0,0414","18","0,0412","18","0,0412","16","0,0316","7602",,"7602","0","27.89",",0",,,"42.8",",0","45.5","0","54.4","0","36.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1958",,,"570",,"570","0","94","0","36","0","54",,"4","0","29","0","142","0","70","0","128","0","9","0","-15","0,0216,","2",",0,1216,+","2.6",",0,1123,","2.10",",0,0804,","95","0,0630,+","29","0,1106","28","0,1110","24","0,1119","16","0,1125","16","0,1125","22","0,0429","22","0,0429","22","0,0429","20","0,0321","11","0,0222","7407",,"7407","0","16.22",",0",,,"14.6",",0","46.0","0","55.4","0","36.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","1959",,,"979",,"979","0","116","0","54","0","38",,"8","0","23","0","157","0","75","0","128","0","29","0","-16","0,0104,","4",",0,1106,+","4.2",",0,1105,","2.40",",0,0708,","96","0,0805,+","32","0,1008","26","0,1017","18","0,1105","18","0,1105","14","0,1106","32","0,0421","28","0,0413","19","0,0322","19","0,0322","7","0,0321","7704",,"7704","0","26.91",",0",,,"27.6",",0","46.0","0","55.1","0","36.9","0",,,,,,,,,,,,,,,,,,,,,,
