"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1960",,,"875",,"875","0","118","0","75","0","28",,"14","0","0","0","92","0","18","0","142","0","4","0","8","0,1213,","14",",0,0305,+","8.2",",0,1212,","5.83",",0,0912,","91","0,0803,","32","0,1108","27","0,1201","22","0,1208","18","0,1209","10","0,1212","23","0,0325","23","0,0325","23","0,0325","19","0,0312","15","0,0311","4882",,"4882","0","49.02",",0","43.3",",0","53.6","0","60.6","0","46.5","0",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1961",,,"1085",,"1085","0","124","0","82","0","37",,"12","0","1","0","80","0","22","0","148","0","15","0","-1","0,0202,","22",",0,0205,","18.1",",0,0204,","2.59",",0,0731,","94","0,0905,+","31","0,1110","27","0,1209","24","0,1214","18","0,1215","15","0,1216","32","0,0322","18","0,0318","18","0,0318","18","0,0318","6","0,0203","5299",,"5299","0","46.10",",0","48.1",",0","53.5","0","60.9","0","46.2","0",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1962",,,"793",,"793","0","113","0","69","0","11",,"7","0","0","0","95","0","21","0","141","0","11","0","3","0,0211,","2",",0,0217,+","3.1",",0,1221,","2.27",",0,0312,","94","0,0618,","32","0,1026","25","0,1107","24","0,1210","20","0,1211","16","0,1213","30","0,0404","28","0,0311","14","0,0304","14","0,0304","14","0,0304","5195",,"5195","0","38.78",",0","19.9",",0","51.8","0","60.0","0","43.7","0",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1963",,,"836",,"836","0","114","0","65","0","15",,"8","0","1","0","93","0","29","0","140","0","13","0","-2","0,0208,","4",",0,1225,+","3.2",",0,1223,","2.93",",0,1107,","102","0,0701,","32","0,1125","28","0,1201","24","0,1212","17","0,1215","15","0,1219","30","0,0324","28","0,0316","23","0,0228","13","0,0227","13","0,0227","5426",,"5426","0","35.90",",0","17.4",",0","52.7","0","61.1","0","44.3","0",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1964",,,"915",,"915","X","128","X","70","X","25",,"8","X","0","X","88","X","13","X","143","X","8","X","10","X,0114,","14",",X,0116,+","13.0",",X,0113,","1.63",",X,1204,","99","X,0630,","30","X,1121","25","X,1122","21","X,1201","20","X,1207",,,"30","X,0406","28","X,0405","21","X,0331","19","X,0225","13","X,0115","5288",,"5288","X","36.74",",X","30.4",",X","53.4","X","61.7","X","45.2","X",,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1965",,,"724",,"724","0","111","0","61","0","20",,"8","0","0","0","93","0","19","0","136","0","6","0","5","0,0115,","7",",0,0111,","6.6",",0,0110,","1.42",",0,1213,","95","0,0629,","32","0,1029","27","0,1201","21","0,1220","19","0,1226","16","0,1227","32","0,0404","27","0,0401","23","0,0322","19","0,0321","14","0,0223","5197",,"5197","0","25.38",",0","26.6",",0","52.3","0","60.3","0","44.3","0","300","X",,,,,,,"46.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1966",,,"931",,"931","0","110","0","56","0","19",,"7","0","0","0","85","0","16","0","129","0","14","0","7","0,0128,","7",",0,1225,+","6.4",",0,1224,","4.49",",0,0921,","104","0,0703,","30","0,1031","28","0,1123","24","0,1202","15","0,1203","15","0,1203","28","0,0329","28","0,0329","24","0,0328","18","0,0221","8","0,0220","5218",,"5218","0","36.73",",0","24.5",",0","53.1","0","61.0","0","45.2","0","260","X",,,,,,,"51.9","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1967",,,"608",,"608","0","133","0","89","0","26",,"13","0","1","0","98","0","22","0","114","0","0","0","0","0,0213,","10",",0,0210,+","9.3",",0,0207,","2.03",",0,0307,","89","0,0712,","31","0,1106","20","0,1115","20","0,1115","20","0,1115",,,"31","0,0413","28","0,0324","22","0,0323","7","0,0319","7","0,0319","5658",,"5658","0","45.15",",0","44.6",",0","50.5","0","57.4","0","43.6","0","250","X",,,,,,,"46.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1968",,,"992",,"992","0","119","0","63","0","20",,"7","0","1","0","91","0","29","0","131","0","12","0","0","0,0109,","4",",0,1216,","3.6",",0,1215,","2.88",",0,0529,","98","0,0716,","32","0,1130","27","0,1208","14","0,1209","14","0,1209","14","0,1209","31","0,0406","28","0,0315","21","0,0314","20","0,0307","16","0,0303","5762",,"5762","0","41.25",",0","15.4",",0","52.5","0","59.5","0","45.5","0","270","X",,,,,,,"46.1","X",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.6386","-73.7622","3.4","1969",,,"1093",,"1093","0","116","0","73","0","16",,"6","0","0","0","98","0","17","0","144","0","13","0","11","0,0128,","18",",0,0210,","19.9",",0,0209,","3.21",",0,0728,","99","0,0529,","32","0,1024","27","0,1122","24","0,1217","19","0,1224",,,"26","0,0401","26","0,0401","19","0,0312","19","0,0312","15","0,0216","5144",,"5144","0","40.72",",0","32.7",",0","53.9","0","60.8","0","47.0","0","60","X",,,,,,,"46.1","X",,,,,,
