"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1950",,,"1685",,"1685","0","120","0","77","0","0",,"0","0","0","0","40","0","1","0","220","0","22","0","3","0,1125,","0","T,0,1228,+","0.0","T,0,1214,+","2.72",",0,0907,","96","0,0627,+","28","0,1121","28","0,1121","14","0,1124","14","0,1124","14","0,1124","31","0,0415","28","0,0227",,,,,,,"2485",,"2485","0","41.22",",0",,,"0.0","T,0","62.0","0","71.6","0","52.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1951",,,"1888",,"1888","0","113","0","79","0","0",,"0","0","0","0","45","0","1","0","214","0","60","0","8","0,0202,","0","T,0,1220,+","0.0","T,0,1220,+","2.83",",0,1220,","96","0,0904,+","30","0,1103","27","0,1118","18","0,1215","18","0,1215","12","0,1216","31","0,0322","28","0,0314","14","0,0208","14","0,0208","14","0,0208","3035",,"3035","0","48.77",",0",,,"0.0","T,0","62.2","0","72.4","0","52.1","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1952",,,"1951",,"1951","0","99","0","78","0","1",,"1","0","0","0","31","0","0","0","211","0","67","0","16","0,0130,","1",",0,0226,","3.9",",0,0226,","2.64",",0,0829,","103","0,0729,","31","0,1029","24","0,1214","24","0,1214",,,,,"32","0,0316","26","0,0131","16","0,0130","16","0,0130","16","0,0130","2715",,"2715","0","44.20",",0",,,"3.9",",0","62.7","0","72.7","0","52.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1953",,,"1826",,"1826","0","118","0","80","0","0",,"1","0","0","0","31","0","0","0","213","0","54","0","13","0,1218,","0","T,0,1225,+","1.3",",0,0110,","3.19",",0,0430,","99","0,0610,","31","0,1126","27","0,1128","18","0,1217","18","0,1217","13","0,1218","32","0,0305","26","0,0218","23","0,0104",,,,,"2808",,"2808","0","50.36",",0",,,"1.4",",0","62.5","0","72.5","0","52.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1954",,,"2171",,"2171","0","88","0","63","0","0",,"0","0","0","0","45","0","0","0","208","0","82","0","21","0,0113,","0",",0,1231,+","0.1",",0,1219,","2.77",",0,0714,","102","0,0816,","31","0,1031","26","0,1102","22","0,1103",,,,,"30","0,0316","28","0,0315","21","0,0113",,,,,"2740",,"2740","0","31.81",",0",,,"0.1",",0","63.0","0","73.6","0","52.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1955",,,"1860",,"1860","0","115","0","71","0","0",,"0","0","0","0","42","0","1","0","230","0","42","0","13","0,0212,","0",",0,1231,+","0.0","T,0,0607,+","2.34",",0,0206,","96","0,0704,","31","0,1120","23","0,1128","23","0,1128","17","0,1129",,,"32","0,0329","16","0,0327","16","0,0327","16","0,0327","16","0,0327","2797",,"2797","0","36.45",",0",,,"0.0","T,0","62.4","0","72.4","0","52.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1956",,,"1847",,"1847","0","115","0","66","0","0",,"0","0","0","0","37","0","0","0","224","0","58","0","23","0,0109,","0",",0,1231,+","0.0","T,0,1229,+","5.30",",0,0925,","98","0,0806,","32","0,1109","24","0,1123","24","0,1123",,,,,"30","0,0325","27","0,0320","24","0,0117",,,,,"2925",,"2925","0","45.63",",0",,,"0.0","T,0","63.1","0","73.1","0","53.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1957",,,"1878",,"1878","0","123","0","77","0","0",,"0","0","0","0","24","0","2","0","199","0","48","0","12","0,1212,","0",",0,1231,+","0.0","T,0,1211,+","2.75",",0,0404,","99","0,0803,+","31","0,1028","26","0,1130","24","0,1201","17","0,1211","12","0,1212","30","0,0310","25","0,0119","17","0,0118","17","0,0118","16","0,0117","2288",,"2288","0","48.88",",0",,,"0.0","T,0","63.0","0","72.0","0","53.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1958",,,"1793",,"1793","0","106","0","77","0","1",,"3","0","0","0","54","0","4","0","204","0","32","0","5","0,0217,","1",",0,0215,","2.7",",0,0215,","2.68",",0,0206,","98","0,0613,","26","0,1129","26","0,1129","21","0,1215",,,,,"29","0,0322","25","0,0221","19","0,0220","19","0,0220","13","0,0219","3369",,"3369","0","49.67",",0",,,"5.1",",0","60.8","0","70.2","0","51.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013874","ATLANTA HARTSFIELD INTERNATIONAL AIRPORT, GA US","33.6301","-84.4418","307.8","1959",,,"1933",,"1933","0","113","0","83","0","0",,"0","0","0","0","36","0","1","0","201","0","40","0","9","0,0105,","0","T,0,1207,","0.0","T,0,1207,+","2.03",",0,0530,","97","0,0701,","30","0,1107","23","0,1118","23","0,1118",,,,,"32","0,0318","28","0,0304","22","0,0221","20","0,0118","12","0,0117","2835",,"2835","0","42.26",",0",,,"0.0","T,0","62.4","0","71.7","0","53.0","0",,,,,,,,,,,,,,,,,,,,,,
