"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1950",,,"2984",,"2984","0","92","0","48","0","0",,"0","0","0","0","5","0","0","0","303","0","81","0","19","0,1207,","0",",0,1231,+","0.0",",0,1231,+","3.22",",0,0101,","97","0,0914,+","26","0,1125","26","0,1125","21","0,1206","19","0,1207",,,"32","0,0107",,,,,,,,,"923",,"923","0","33.91",",0",,,"0.0",",0","70.2","0","80.1","0","60.4","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1951",,,"3070",,"3070","0","93","0","53","0","0",,"0","0","0","0","18","0","4","0","299","0","103","0","14","0,0202,","0","T,0,0202,+","0.0","T,0,1203,+","3.45",",0,0326,","100","0,0817,+","28","0,1103","28","0,1103",,,,,,,"32","0,0313","28","0,0216","19","0,0203","19","0,0203","14","0,0202","1391",,"1391","0","33.31",",0",,,"0.0","T,0","69.5","0","79.4","0","59.6","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1952",,,"2614",,"2614","0","87","0","58","0","0",,"0","0","0","0","1","0","0","0","283","0","90","0","25","0,1215,","0",",0,1231,+","0.0",",0,1231,+","3.88",",0,0201,","98","0,0823,+","25","0,1215","25","0,1215",,,,,,,,,,,,,,,,,"1120",,"1120","0","43.67",",0",,,"0.0",",0","68.7","0","78.6","0","58.8","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1953",,,"3023",,"3023","0","86","0","50","0","0",,"0","0","0","0","7","0","0","0","291","0","105","0","26","0,1224,","0",",0,1231,+","0.0","T,0,1219,+","3.37",",0,0829,","100","0,0809,","31","0,1215","27","0,1223",,,,,,,"28","0,0118","28","0,0118",,,,,,,"1259",,"1259","0","43.41",",0",,,"0.0","T,0","69.9","0","79.4","0","60.3","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1954",,,"3075",,"3075","0","78","0","44","0","0",,"0","0","0","0","7","0","0","0","302","0","106","0","25","0,0122,","0",",0,1231,+","0.0",",0,1231,+","2.85",",0,1005,","104","0,0726,","32","0,1229",,,,,,,,,"32","0,0208","25","0,0122",,,,,,,"1273",,"1273","0","28.77",",0",,,"0.0",",0","70.3","0","80.5","0","60.2","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1955",,,"3073",,"3073","0","103","0","58","0","0",,"0","0","0","0","9","0","0","0","281","0","82","0","26","0,0211,","0",",0,1231,+","0.0","T,0,0516,","2.60",",0,0204,","98","0,0824,+","32","0,1129","27","0,1216",,,,,,,"31","0,0327","28","0,0212",,,,,,,"1258",,"1258","0","41.89",",0",,,"0.0","T,0","69.7","0","79.1","0","60.4","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1956",,,"3085",,"3085","0","89","0","49","0","0",,"0","0","0","0","3","0","0","0","294","0","111","0","31","0,1127,","0",",0,1231,+","0.0",",0,1231,+","1.66",",0,0121,","101","0,0919,","31","0,1127",,,,,,,,,"32","0,0308",,,,,,,,,"1267",,"1267","0","28.37",",0",,,"0.0",",0","70.2","0","80.3","0","60.0","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1957",,,"2933",,"2933","0","110","0","69","0","0",,"0","0","0","0","5","0","0","0","273","0","82","0","23","0,1212,","0",",0,1231,+","0.0",",0,1231,+","5.42",",0,1014,","99","0,0818,+","26","0,1211","26","0,1211","23","0,1212",,,,,"28","0,0118","28","0,0118",,,,,,,"1018",,"1018","0","61.14",",0",,,"0.0",",0","70.0","0","78.4","0","61.6","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1958",,,"3019",,"3019","0","115","0","69","0","0",,"1","0","0","0","9","0","0","0","254","0","95","0","26","0,0213,","0","T,0,0212,","1.7",",0,0212,","2.67",",0,0907,","100","0,0803,+","31","0,1129",,,,,,,,,"32","0,0216","26","0,0213",,,,,,,"1661",,"1661","0","43.97",",0",,,"1.7",",0","68.4","0","76.9","0","59.9","0",,,,,,,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","1959",,,"2842",,"2842","0","111","0","69","0","0",,"0","0","0","0","14","0","0","0","259","0","79","0","22","0,0104,","0",",0,1231,+","0.0",",0,1231,+","3.98",",0,0724,","96","0,0804,+","30","0,1107","28","0,1118",,,,,,,"25","0,0122","25","0,0122","22","0,0104",,,,,"1537",,"1537","0","68.26",",0",,,"0.0",",0","68.4","0","77.0","0","59.8","0",,,,,,,,,,,,,,
