"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1950",,,"2914",,"2914","0","11","0","7","0","0",,"0","0","0","0","36","0","0","0","265","0","143","0","12","0,0106,+","0",",0,1231,+","0.0",",0,1231,+","0.62",",0,0907,","115","0,0702,+","30","0,1110","24","0,1111","24","0,1111",,,,,"29","0,0314","25","0,0313","22","0,0202","19","0,0201","16","0,0127","2474",,"2474","0","2.34",",0",,,"0.0",",0","67.0","0","81.8","0","52.1","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1951",,,"2838",,"2838","0","24","0","8","0","0",,"0","0","0","0","61","0","0","0","233","0","131","0","21","0,1209,","0",",0,1231,+","0.0","T,0,0302,+","0.98",",0,0928,","112","0,0628,","32","0,1103","28","0,1117","21","0,1209",,,,,"32","0,0319","27","0,0301","24","0,0228",,,,,"2286",,"2286","0","2.83",",0",,,"0.0","T,0","65.0","0","78.9","0","51.1","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1952",,,"3044",,"3044","0","33","0","15","0","0",,"0","0","0","0","48","0","0","0","229","0","146","0","17","0,0104,","0",",0,1231,+","0.0","T,0,0320,+","0.71",",0,0118,","111","0,0803,","31","0,1124","28","0,1125","21","0,1127",,,,,"31","0,0314","27","0,0303","24","0,0111","17","0,0104",,,"2943",,"2943","0","5.57",",0",,,"0.0","T,0","65.6","0","79.2","0","52.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1953",,,"2786",,"2786","0","15","0","1","0","0",,"0","0","0","0","39","0","0","0","248","0","127","0","19","0,1224,","0",",0,1231,+","0.0","T,0,1120,+","0.11",",0,1022,","113","0,0723,","32","0,1119","28","0,1206","23","0,1208","19","0,1224",,,"32","0,0409","28","0,0304","20","0,0222","20","0,0222",,,"2433",,"2433","0","0.57",",0",,,"0.0","T,0","65.9","0","80.3","0","51.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1954",,,"3137",,"3137","0","24","0","10","0","0",,"0","0","0","0","40","0","0","0","255","0","152","0","20","0,1228,","0",",0,1231,+","0.0",",0,1231,+","1.18",",0,0725,","115","0,0622,","29","0,1130","28","0,1216","20","0,1228","20","0,1228",,,"30","0,0318","28","0,0313","23","0,0114",,,,,"2405",,"2405","0","4.72",",0",,,"0.0",",0","67.2","0","81.5","0","53.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1955",,,"2734",,"2734","0","24","0","13","0","0",,"1","0","0","0","61","0","0","0","226","0","133","0","21","0,0222,+","0","T,0,0218,","1.5",",0,0107,","1.29",",0,0804,","111","0,0608,","28","0,1116","28","0,1116","24","0,1205",,,,,"31","0,0403","26","0,0321","24","0,0224",,,,,"2856",,"2856","0","5.41",",0",,,"1.5",",0","64.7","0","78.5","0","50.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1956",,,"3006",,"3006","0","11","0","4","0","0",,"0","0","0","0","60","0","0","0","236","0","141","0","16","0,1209,","0",",0,1231,+","0.0","T,0,1031,","1.32",",0,0724,","114","0,0628,+","31","0,1103","26","0,1104","23","0,1120","16","0,1209","16","0,1209","31","0,0316","25","0,0313","21","0,0217",,,,,"2359",,"2359","0","2.04",",0",,,"0.0","T,0","66.1","0","80.7","0","51.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1957",,,"2744",,"2744","0","26","0","10","0","0",,"1","0","0","0","44","0","0","0","231","0","118","0","24","0,0129,","0","T,0,0130,","1.0",",0,0129,","2.58",",0,0821,","113","0,0625,","31","0,1118","28","0,1128",,,,,,,"31","0,0206","28","0,0205","24","0,0129",,,,,"2450",,"2450","0","4.98",",0",,,"1.0",",0","65.7","0","78.5","0","52.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1958",,,"3258",,"3258","0","29","0","14","0","0",,"1","0","0","0","32","0","0","0","228","0","157","0","23","0,1118,","0","T,0,1116,","1.0",",0,1116,","0.66",",0,1111,","114","0,0712,","31","0,1116","28","0,1117","23","0,1118",,,,,"32","0,0312","26","0,0123","24","0,0121",,,,,"2646",,"2646","0","4.54",",0",,,"1.0",",0","67.2","0","80.8","0","53.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1959",,,"3134",,"3134","0","21","0","11","0","0",,"0","0","0","0","32","0","0","0","248","0","137","0","20","0,0104,","0",",0,1231,+","0.0","T,0,1231,+","0.88",",0,1102,","116","0,0711,","29","0,1127",,,,,,,,,"32","0,0223","28","0,0214","23","0,0105","20","0,0104",,,"2245",,"2245","0","4.18",",0",,,"0.0","T,0","67.2","0","81.2","0","53.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1960",,,"3200",,"3200","0","21","0","10","0","0",,"0","0","0","0","38","0","0","0","233","0","144","0","20","0,0102,","0",",0,1231,+","0.4",",0,0115,","0.96",",0,1106,","113","0,0717,+","32","0,1128",,,,,,,,,"26","0,0225","26","0,0225","22","0,0117","20","0,0102",,,"2510",,"2510","0","4.41",",0",,,"0.4",",0","66.5","0","79.7","0","53.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1961",,,"2912",,"2912","0","27","0","11","0","0",,"0","0","0","0","39","0","0","0","227","0","126","0","21","0,1213,+","0",",0,1231,+","0.0","T,0,1215,+","0.42",",0,0829,+","113","0,0710,+","28","0,1118","28","0,1118","24","0,1211",,,,,"31","0,0228","28","0,0109","24","0,0102",,,,,"2426",,"2426","0","3.17",",0",,,"0.0","T,0","65.7","0","79.2","0","52.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1962",,,"3029",,"3029","0","16","0","6","0","0",,"0","0","0","0","38","0","0","0","236","0","137","0","17","0,0112,+","0",",0,1231,+","0.0","T,0,0309,+","0.45",",0,1018,","112","0,0813,","31","0,1213","22","0,1225","22","0,1225","20","0,1226",,,"26","0,0315","26","0,0315","23","0,0301","19","0,0228",,,"2821",,"2821","0","1.46",",0",,,"0.0","T,0","66.6","0","80.2","0","53.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1963",,,"2908",,"2908","0","26","0","13","0","0",,"0","0","0","0","41","0","2","0","242","0","132","0","8","0,0113,","0",",0,1231,+","0.0","T,0,0315,","1.07",",0,0904,","110","0,0723,+","32","0,1205","24","0,1212","24","0,1212",,,,,"32","0,0318","28","0,0305","24","0,0127","18","0,0120","14","0,0114","2426",,"2426","0","3.87",",0",,,"0.0","T,0","66.0","0","79.2","0","52.8","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1964",,,"2916",,"2916","0","16","0","3","0","1",,"2","0","0","0","67","0","0","0","217","0","143","0","20","0,0109,","3",",0,1116,","3.0",",0,1115,","0.52",",0,1115,","110","0,0729,+","30","0,1114","25","0,1213","22","0,1214",,,,,"31","0,0325","27","0,0309","23","0,0215","20","0,0109",,,"2851",,"2851","0","1.13",",0",,,"4.0",",0","64.8","0","78.2","0","51.3","0",,,,,,,,,,,,,,,,,,,,,,
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","36.0719","-115.1634","664.5","1965",,,"2609",,"2609","0","37","0","19","0","0",,"0","0","0","0","32","0","0","0","226","0","126","0","22","0,0212,","0",",0,1231,+","0.0","T,0,0107,","1.09",",0,1122,","109","0,0807,+","32","0,1129","28","0,1219",,,,,,,"32","0,0306","28","0,0216","22","0,0212",,,,,"2707",,"2707","0","7.97",",0","81.1","X","0.0","T,0","65.0","0","77.7","0","52.4","0","218460",",X",,,,,,,,,"315","X",,,,,,,,,"53.9","X"
