"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1950",,,"3898",,"3898","0","123","0","70","0","0",,"0","0","0","0","0","0","0","0","353","0","51","0","39","0,1126,","0",",0,1231,+","0.0","T,0,0531,","3.49",",0,1014,","94","0,0731,",,,,,"86",,"86","0","49.50",",0",,,"0.0","T,0","75.2","0","83.1","0","67.2","0",,,,,,,,,"23","X",,,,,,,"125.0","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1951",,,"3953",,"3953","0","100","0","62","0","0",,"0","0","0","0","0","0","0","0","351","0","102","0","36","0,0109,","0",",0,1231,+","0.0",",0,1231,+","2.95",",0,1001,","95","0,0830,",,,,,"267",,"267","0","38.70",",0",,,"0.0",",0","75.3","0","83.5","0","67.0","0",,,,,,,,,"203","X",,,,,,,"68.0","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1952",,,"4229",,"4229","0","112","0","65","0","0",,"0","0","0","0","0","0","0","0","358","0","96","0","42","0,1216,","0",",0,1231,+","0.0",",0,1231,+","7.88",",0,1027,","96","0,0701,",,,,,"114",,"114","0","48.96",",0",,,"0.0",",0","76.2","0","84.1","0","68.2","0",,,,,,,,,"135","X",,,,,,,"53.0","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1953",,,"4288",,"4288","0","133","0","88","0","0",,"0","0","0","0","0","0","0","0","354","0","74","0","44","0,1217,","0",",0,1231,+","0.0","T,0,0520,+","2.97",",0,0805,","94","0,0813,+",,,,,"118",,"118","0","65.16",",0",,,"0.0","T,0","76.4","0","83.6","0","69.2","0",,,,,,,,,"270","X",,,,,,,"57.9","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1954",,,"4007",,"4007","0","132","0","85","0","0",,"0","0","0","0","0","0","0","0","355","0","74","0","41","0,1222,+","0",",0,1231,+","0.0",",0,1231,+","4.15",",0,1112,","98","0,0806,",,,,,"150",,"150","0","62.28",",0",,,"0.0",",0","75.5","0","83.2","0","67.7","0",,,,,,,,,"248","X",,,,,,,"47.0","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1955",,,"3894",,"3894","0","120","0","69","0","0",,"0","0","0","0","0","0","0","0","357","0","48","0","40","0,0213,+","0",",0,1231,+","0.0",",0,1231,+","3.72",",0,0611,","96","0,0810,",,,,,"207",,"207","0","41.38",",0",,,"0.0",",0","75.2","0","83.3","0","67.2","0",,,,,,,,,"248","X",,,,,,,"50.6","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1956",,,"3993",,"3993","0","108","0","58","0","0",,"0","0","0","0","0","0","0","0","352","0","67","0","39","0,0114,","0",",0,1231,+","0.0",",0,1231,+","3.42",",0,0905,","97","0,0815,+",,,,,"197",,"197","0","37.08",",0",,,"0.0",",0","75.2","0","83.2","0","67.1","0",,,,,,,,,"203","X",,,,,,,"78.3","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1957",,,"4091",,"4091","0","143","0","93","0","0",,"0","0","0","0","0","0","0","0","357","0","34","0","35","0,1212,","0",",0,1231,+","0.0",",0,1231,+","7.02",",0,0501,","94","0,0610,",,,,,"126",,"126","0","70.88",",0",,,"0.0",",0","75.9","0","83.3","0","68.4","0",,,,,,,,,"225","X",,,,,,,"51.7","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1958",,,"3927",,"3927","0","127","0","92","0","0",,"0","0","0","0","0","0","0","0","327","0","53","0","35","0,0205,","0",",0,1231,+","0.0",",0,1231,+","6.37",",0,0524,","96","0,0823,",,,,,"449",,"449","0","71.93",",0",,,"0.0",",0","74.6","0","81.8","0","67.4","0",,,,,,,,,"180","X",,,,,,,"54.1","X"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7881","-80.3169","8.8","1959",,,"4084",,"4084","0","162","0","116","0","0",,"0","0","0","0","0","0","0","0","352","0","16","0","40","0,0111,","0",",0,1231,+","0.0",",0,1231,+","6.78",",0,1119,","93","0,0629,",,,,,"129",,"129","0","89.32",",0",,,"0.0",",0","75.8","0","82.6","0","68.9","0",,,,,,,,,"293","X",,,,,,,"46.1","X"
