"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1950","3341",,"3341","0","16","0","9","0","0",,"0","0","0","0","25","0","0","0","327","0","190","0","16","0,0105,","0",",0,1231,+","0.0",",0,1231,+","0.45",",0,0227,","115","0,0901,","32","0,1111",,,,,,,"29","0,0201","28","0,0128","22","0,0107","19","0,0106","16","0,0105","1332",,"1332","0","2.57",",0","0.0",",0","70.8","0","89.1","0","52.6","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1951",,,,,"41","0","25","0","0",,"0","0",,,,,"0","0","289","0","162","0",,,"0",",0,1231,+","0.0","T,0,0302,","2.36",",0,0803,","113","0,0526,",,,,,,,,,,,,,,,,,,,,,,,"15.90",",0","0.0","T,0",,,"85.7","0",,
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1952","3280",,"3280","0","36","0","23","0","0",,"0","0","0","0","45","0","0","0","261","0","181","0","25","0,1224,+","0",",0,1231,+","0.0",",0,1231,+","1.13",",0,1116,","112","0,0719,+","32","0,1118","26","0,1128",,,,,"32","0,0314","25","0,0219",,,,,,,,,,,"10.55",",0","0.0",",0","68.6","0","85.4","0","51.7","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1953","3107",,"3107","0","17","0","11","0","0",,"0","0","0","0","36","0","0","0","311","0","167","0","21","0,1224,","0",",0,1231,+","0.0",",0,1231,+","0.73",",0,0827,","114","0,0702,","29","0,1119","27","0,1120","24","0,1213",,,"32","0,0225","25","0,0221",,,,,,,"1550",,"1550","0","3.62",",0","0.0",",0","69.2","0","87.1","0","51.2","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1954",,,,,"23","0","15","0","0",,"0","0",,,,,"0","0","320","0","186","0",,,"0",",0,1231,+","0.0","T,0,0120,","1.79",",0,0120,","113","0,0715,+",,,,,,,,,,,,,,,,,,,,,,,"7.11",",0","0.0","T,0",,,"88.7","0",,
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1955","3151",,"3151","0","25","0","15","0","0",,"0","0","0","0","31","0","0","0","306","0","172","0","23","0,0222,","0",",0,1231,+","0.0",",0,1231,+","1.31",",0,0813,","115","0,0622,+","31","0,1116",,,,,,,"31","0,0322","26","0,0223","23","0,0222",,,,,"1663",,"1663","0","6.85",",0","0.0",",0","69.0","0","86.4","0","51.5","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1470",,"1470","0",,,,,,,,,,
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1957","3375",,"3375","0","39","0","22","0","0",,"0","0","0","0","11","0","0","0","305","0","156","0","28","0,1203,","0",",0,1231,+","0.0",",0,1231,+","1.08",",0,1031,","116","0,0704,+","32","0,1118","28","0,1203",,,,,"32","0,0201",,,,,,,,,,,,,"9.28",",0","0.0",",0","70.8","0","86.6","0","55.1","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1958","3867",,"3867","0","32","0","16","0","0",,"0","0","0","0","20","0","0","0","323","0","175","0","26","0,1231,+","0",",0,1231,+","0.0",",0,1231,+","1.77",",0,0913,","119","0,0711,","28","0,1117","28","0,1117",,,,,"32","0,0125","27","0,0124",,,,,,,"1512",,"1512","0","8.38",",0","0.0",",0","72.0","0","88.6","0","55.3","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1959","3591",,"3591","0","29","0","20","0","0",,"0","0","0","0","16","0","0","0","314","0","183","0","27","0,0101,","0",",0,1231,+","0.0",",0,1231,+","1.55",",0,1225,","114","0,0623,","31","0,1215",,,,,,,"32","0,0306","28","0,0204",,,,,,,"1193",,"1193","0","12.18",",0","0.0",",0","71.5","0","88.0","0","54.9","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1960","3551",,"3551","0","22","0","10","0","0",,"0","0","0","0","33","0","0","0","294","0","175","0","23","0,0225,","0",",0,1231,+","0.0",",0,1231,+","0.64",",0,0822,","116","0,0621,+","31","0,1128","25","0,1206",,,,,"31","0,0226","23","0,0225","23","0,0225",,,,,"1463",,"1463","0","3.86",",0","0.0",",0","70.8","0","88.0","0","53.7","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1961","3501",,"3501","0","20","0","12","0","0",,"0","0","0","0","18","0","0","0","312","0","176","0","27","0,1122,","0",",0,1231,+","0.0",",0,1231,+","1.10",",0,1215,","115","0,0720,","32","0,1115","27","0,1122",,,,,"32","0,0228",,,,,,,,,"1184",,"1184","0","4.80",",0","0.0",",0","70.8","0","87.9","0","53.8","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1962","3514",,"3514","0","28","0","19","0","0",,"0","0","0","0","18","0","0","0","311","0","192","0","21","0,0111,","0",",0,1231,+","0.0","T,0,0113,","0.59",",0,0121,","115","0,0813,+","31","0,1226",,,,,,,"28","0,0315","28","0,0315","22","0,0112",,,,,"1669",,"1669","0","4.23",",0","0.0","T,0","70.9","0","88.4","0","53.4","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1963","3587",,"3587","0","22","0","14","0","0",,"0","0","0","0","27","0","0","0","323","0","181","0","17","0,0114,","0",",0,1231,+","0.0",",0,1231,+","1.33",",0,0817,","112","0,0725,+","32","0,1211","28","0,1213",,,,,"32","0,0316","26","0,0122","21","0,0121","20","0,0120",,,"1210",,"1210","0","7.10",",0","0.0",",0","71.1","0","88.1","0","54.1","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1964","3349",,"3349","0","27","0","15","0","0",,"0","0","0","0","48","0","0","0","279","0","174","0","21","0,0116,","0",",0,1231,+","0.0",",0,1231,+","1.32",",0,0814,","113","0,0624,","32","0,1116","28","0,1120",,,,,"29","0,0309","28","0,0228","24","0,0215",,,,,"1755",,"1755","0","6.89",",0","0.0",",0","68.9","0","85.6","0","52.1","0"
"USC00024977","LITCHFIELD PARK, AZ US","33.4991","-112.363","317.0","1965","3202",,"3202","0","54","0","34","0","0",,"0","0","0","0","12","0","0","0","298","0","174","0","27","0,0212,","0",",0,1231,+","0.0",",0,1231,+","1.32",",0,0207,","115","0,0704,","31","0,1219",,,,,,,"32","0,0306","28","0,0303",,,,,,,"1602",,"1602","0","14.41",",0","0.0",",0","69.8","0","86.0","0","53.6","0"
