"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1950",,,"0",,"0","0","68","0","30","0","129",,"13","0","66","0","208","0","120","0","25","0","0","0","-21","0,0211,+","27",",0,0104,","8.1",",0,1204,","0.79",",0,0615,","80","0,0814,","30","0,0924","27","0,1005","23","0,1017","19","0,1025","15","0,1027","31","0,0520","27","0,0425","23","0,0410","17","0,0405","13","0,0404","11360",,"11360","0","8.63",",0","48.4",",0","32.8","0","42.0","0","23.7","0",,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1951",,,"4",,"4","0","121","0","54","0","155",,"21","0","61","0","211","0","122","0","17","0","0","0","-32","0,0119,+","19",",0,0221,","5.0",",0,0319,","1.62",",0,0904,","82","0,0710,","31","0,0924","27","0,1007","20","0,1008","20","0,1008","15","0,1015","32","0,0525","28","0,0506","21","0,0410","19","0,0403","12","0,0330","11767",,"11767","0","16.65",",0","60.8",",0","33.0","0","41.6","0","24.3","0",,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1952",,,"1",,"1","0","125","0","53","0","144",,"25","0","36","0","219","0","96","0","10","0","0","0","-28","0,0119,","18",",0,0116,","6.8",",0,0112,","0.93",",0,1026,","79","0,0720,","32","0,0904","27","0,0907","24","0,1017","20","0,1019","13","0,1113","32","0,0606","28","0,0513","24","0,0501","9","0,0406","9","0,0406","11604",,"11604","0","17.02",",0","77.0",",0","34.8","0","43.1","0","26.4","0",,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10393",,"10393","0",,,,,,,,,,,,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1998",,,"2",,"2","W",,,,,,,,,"20","W","186","W","105","W","16","W","0","W","-14","W,0103,",,,,,,,"79","W,0801,","32","W,0929","28","W,1002","23","W,1008","17","W,1028","13","W,1111","30","W,0430","27","W,0424","23","M,0331","12","M,0313","12","M,0313",,,,,,,,,"37.0","W","44.2","W","29.8","W",,,,,,,,
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","1999","4.5","W","18",,"18","W","107","W","43","W","173",,"23","W","57","W","196","W","120","W","23","W","0","W","-26","W,0205,+","27",",W,0316,","12.5",",W,1220,","1.21",",W,0812,","81","W,0705,","28","W,0926","28","W,0926","23","W,1014","18","W,1028","0","W,1102","31","W,0508","28","W,0426","24","W,0413","13","W,0408","13","W,0408","10839",,"10839","W","15.63",",W","70.6",",W","34.9","W","42.3","W","27.5","W","140","W","120","W","29.1","W","42.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2000","4.0","W","1",,"1","W","112","W","43","W",,,,,"12","W","195","W","78","W","15","W","0","W","-16","W,0116,",,,,,"0.90",",W,0202,","77","W,0624,","32","W,0909","26","W,0929","23","W,1001","20","W,1027","15","W,1028","31","W,0503","25","W,0411","23","W,0409","12","W,0328","12","W,0328","10123",,"10123","W","14.46",",W",,,"38.9","W","46.2","W","31.7","W","200","W","210","W","32.0","W","47.0","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2001","4.0","W","8",,"8","W","109","W","44","W",,,,,"20","W","181","W","104","W","25","W","0","W","-17","W,1216,",,,,,"0.76",",W,0705,","78","W,0628,+","32","W,0927","28","W,1011","23","W,1012","19","W,1013","13","W,1024","30","W,0505","28","W,0503","24","W,0405","14","W,0401","14","W,0401","8899",,"8899","W","11.95",",W",,,"38.4","W","45.6","W","31.2","W","40","W","50","W","32.0","W","44.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2002","4.0","W","8",,"8","W","118","W","51","W",,,,,"16","W","175","W","84","W","29","W","0","W","-7","W,0126,+",,,,,"1.76",",W,1001,","82","W,0731,","30","W,0921","27","W,1009","23","W,1108","19","W,1110","8","W,1215","31","W,0510","25","W,0425","24","W,0424","18","W,0415","15","W,0414","10565",,"10565","W","18.16",",W",,,"39.1","W","46.5","W","31.7","W","340","W","360","W","32.0","W","44.1","W"
"USW00026409","ANCHORAGE MERRILL FIELD, AK US","61.21694","-149.855","42.1","2003","4.0","W","42",,"42","W","116","W","48","W",,,,,"18","W","170","W","93","W","31","W","0","W","-16","W,1202,",,,,,"1.78",",W,1210,","85","W,0714,","29","W,0914","27","W,1012","23","W,1016","16","W,1113","16","W,1113","29","W,0419","27","W,0409","23","W,0406","20","W,0405","14","W,0323","8771",,"8771","W","16.89",",W",,,"39.0","W","46.2","W","31.7","W","40","W","40","W","46.1","W","61.1","W"
