"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1950",,,"1112",,"1112","0","138","0","99","0","5",,"4","0","1","0","105","0","18","0","188","0","13","0","-1","0,1125,","4",",0,1126,","3.5",",0,1126,","2.23",",0,0509,","95","0,0626,+","30","0,1105","25","0,1111","21","0,1112","14","0,1123","14","0,1123","31","0,0416","27","0,0413","22","0,0314","19","0,0309","15","0,0303","4055",,"4055","0","59.41",",0",,,"9.7",",0","55.6","0","65.7","0","45.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1951",,,"1390",,"1390","0","135","0","101","0","21",,"10","0","3","0","93","0","17","0","178","0","46","0","-19","0,0202,","8",",0,0204,+","5.8",",0,0313,","2.56",",0,0114,","98","0,0831,","22","0,1102","22","0,1102","22","0,1102","14","0,1103","14","0,1103","32","0,0423","21","0,0326","21","0,0326","9","0,0210","9","0,0210","4835",,"4835","0","51.17",",0",,,"27.8",",0","55.7","0","66.3","0","45.2","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1952",,,"1615",,"1615","0","110","0","75","0","4",,"5","0","0","0","85","0","6","0","184","0","70","0","8","0,0130,+","2",",0,1202,+","3.7",",0,1201,","2.25",",0,0621,","104","0,0727,","30","0,1007","24","0,1021","24","0,1021","20","0,1128","15","0,1228","27","0,0328","27","0,0328","23","0,0306","8","0,0130","8","0,0130","4366",,"4366","0","37.61",",0",,,"12.2",",0","57.7","0","68.5","0","46.8","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1953",,,"1625",,"1625","0","97","0","64","0","3",,"4","0","0","0","84","0","4","0","186","0","73","0","7","0,1218,","3",",0,0107,","3.8",",0,0106,","1.87",",0,0303,","103","0,0902,+","31","0,1030","26","0,1106","24","0,1110","15","0,1216","15","0,1216","31","0,0419","28","0,0310","23","0,0222","17","0,0217",,,"4189",,"4189","0","30.39",",0",,,"10.5",",0","58.3","0","69.6","0","46.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1954",,,"1829",,"1829","0","116","0","67","0","5",,"1","0","0","0","81","0","9","0","179","0","81","0","2","0,0113,+","3",",0,0110,","4.9",",0,0110,","3.19",",0,0920,","105","0,0714,","30","0,1030","28","0,1031","24","0,1102","20","0,1222",,,"29","0,0402","26","0,0401","20","0,0306","20","0,0306","16","0,0117","4160",,"4160","0","32.96",",0",,,"5.4",",0","58.4","0","69.1","0","47.6","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1955",,,"1588",,"1588","0","125","0","79","0","12",,"2","0","0","0","96","0","18","0","195","0","63","0","3","0,0211,+","3",",0,0111,","3.2",",0,0110,","2.33",",0,0929,","98","0,0803,","31","0,1025","26","0,1104","24","0,1118","17","0,1127","11","0,1128","30","0,0408","25","0,0329","16","0,0327","16","0,0327","16","0,0327","4219",,"4219","0","45.57",",0",,,"8.9",",0","57.4","0","67.9","0","47.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1956",,,"1247",,"1247","0","129","0","81","0","13",,"6","0","0","0","77","0","5","0","187","0","25","0","15","0,0124,","4",",0,0127,+","4.0",",0,0119,","1.94",",0,0307,","96","0,0805,+","29","0,1109","24","0,1113","24","0,1113","18","0,1123",,,"30","0,0419","25","0,0325","24","0,0321","20","0,0222","16","0,0126","4589",,"4589","0","41.06",",0",,,"13.8",",0","56.8","0","66.7","0","46.9","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1957",,,"1395",,"1395","0","129","0","76","0","3",,"1","0","0","0","86","0","9","0","175","0","31","0","3","0,0117,","1",",0,0131,+","1.4",",0,0117,","3.07",",0,1118,","96","0,0830,","31","0,1020","21","0,1110","21","0,1110","20","0,1201","7","0,1211","32","0,0415","28","0,0305","22","0,0303","20","0,0119","16","0,0118","4128",,"4128","0","50.13",",0",,,"4.5",",0","56.9","0","66.5","0","47.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1958",,,"1319",,"1319","0","122","0","80","0","17",,"4","0","1","0","100","0","29","0","186","0","40","0","-3","0,0217,","5",",0,1129,","6.6",",0,0313,","2.36",",0,0920,","97","0,0704,","28","0,1107","28","0,1107","23","0,1127","16","0,1128","16","0,1128","31","0,0408","28","0,0323","23","0,0223","19","0,0221","8","0,0219","4785",,"4785","0","39.86",",0",,,"20.7",",0","54.9","0","65.1","0","44.7","0",,,,,,,,,,,,,,,,,,,,,,
"USW00093821","LOUISVILLE INTERNATIONAL AIRPORT, KY US","38.1811","-85.7391","148.7","1959",,,"1876",,"1876","0","123","0","72","0","1",,"1","0","1","0","94","0","10","0","187","0","76","0","-2","0,0105,","1",",0,0127,","1.0",",0,0127,","2.15",",0,0121,","100","0,0826,+","31","0,1028","24","0,1108","24","0,1108","13","0,1117","13","0,1117","28","0,0328","28","0,0328","24","0,0323","19","0,0318","16","0,0221","4460",,"4460","0","37.12",",0",,,"2.5",",0","58.1","0","68.9","0","47.4","0",,,,,,,,,,,,,,,,,,,,,,
