"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1950",,,"1399",,"1399","0","139","0","90","0","7",,"3","0","1","0","89","0","10","0","205","0","21","0","-1","0,1125,","4",",0,1124,","7.2",",0,1124,","3.33",",0,0705,","95","0,0626,","30","0,1105","27","0,1110","24","0,1111","19","0,1123","3","0,1124","31","0,0416","28","0,0415","22","0,0309","20","0,0302",,,"3333",,"3333","0","64.29",",0",,,"10.8",",0","58.5","0","68.7","0","48.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1951",,,"1766",,"1766","0","129","0","85","0","16",,"9","0","3","0","74","0","10","0","199","0","66","0","-13","0,0202,","8",",0,0202,+","5.2",",0,0201,","3.83",",0,0131,","101","0,0831,","25","0,1102","25","0,1102","15","0,1103","15","0,1103","15","0,1103","32","0,0402","24","0,0322","24","0,0322","13","0,0208","13","0,0208","4033",,"4033","0","58.42",",0",,,"25.6",",0","59.2","0","70.0","0","48.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1952",,,"2020",,"2020","0","104","0","76","0","0",,"0","0","0","0","61","0","3","0","195","0","81","0","14","0,0130,+","0","T,0,1214,+","0.4",",0,1129,","4.63",",0,0322,","107","0,0728,+","29","0,1021","28","0,1022","20","0,1128","20","0,1128",,,"32","0,0407","26","0,0317","23","0,0305","14","0,0130","14","0,0130","3539",,"3539","0","39.81",",0",,,"1.1",",0","60.6","0","71.7","0","49.5","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1953",,,"1934",,"1934","0","102","0","72","0","1",,"1","0","0","0","68","0","3","0","204","0","78","0","9","0,1224,+","1",",0,1214,","3.0",",0,1214,","1.88",",0,0707,","102","0,0901,","29","0,1106","25","0,1107","21","0,1128","17","0,1216","13","0,1217","31","0,0419","28","0,0309","24","0,0223",,,,,"3485",,"3485","0","40.96",",0",,,"3.4",",0","61.1","0","72.7","0","49.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1954",,,"2203",,"2203","0","107","0","70","0","0",,"1","0","0","0","75","0","2","0","204","0","96","0","11","0,0113,+","0","T,0,1219,+","1.0",",0,1102,","2.88",",0,0920,","105","0,0905,+","32","0,1030","21","0,1102","21","0,1102","19","0,1103",,,"32","0,0402","28","0,0317","24","0,0305","20","0,0208","11","0,0113","3495",,"3495","0","42.76",",0",,,"1.7",",0","61.2","0","72.4","0","50.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1955",,,"1926",,"1926","0","115","0","82","0","5",,"3","0","0","0","85","0","6","0","216","0","74","0","8","0,0213,+","4",",0,0119,","2.5",",0,0118,","3.27",",0,0321,","98","0,0909,+","32","0,1025","26","0,1104","24","0,1109","16","0,1128","16","0,1128","32","0,0331","26","0,0329","23","0,0328","16","0,0327","16","0,0327","3581",,"3581","0","45.43",",0",,,"6.8",",0","60.2","0","71.0","0","49.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1956",,,"1789",,"1789","0","126","0","79","0","3",,"1","0","0","0","62","0","2","0","209","0","74","0","14","0,0124,+","4",",0,0124,","5.0",",0,0123,","3.69",",0,0129,","101","0,0727,","29","0,1109","28","0,1113","24","0,1124",,,,,"27","0,0325","27","0,0325","24","0,0320","14","0,0124","14","0,0124","3804",,"3804","0","43.96",",0",,,"5.1",",0","60.9","0","71.7","0","50.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1957",,,"1751",,"1751","0","142","0","98","0","1",,"1","0","0","0","63","0","6","0","189","0","48","0","8","0,0117,","2",",0,0308,","3.1",",0,0307,","3.05",",0,0129,","96","0,0811,+","32","0,1027","28","0,1028","24","0,1110","10","0,1211","10","0,1211","32","0,0415","27","0,0310","24","0,0221","20","0,0119","8","0,0117","3151",,"3151","0","60.09",",0",,,"4.6",",0","60.2","0","69.9","0","50.4","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1958",,,"1596",,"1596","0","115","0","71","0","11",,"4","0","1","0","84","0","16","0","190","0","45","0","-1","0,0217,","3",",0,0216,","2.8",",0,0215,","2.69",",0,0722,","95","0,0613,","30","0,1107","26","0,1127","22","0,1128","20","0,1129","14","0,1214","30","0,0408","24","0,0322","24","0,0322","18","0,0221","13","0,0220","4204",,"4204","0","40.93",",0",,,"8.7",",0","57.4","0","67.7","0","47.0","0",,,,,,,,,,,,,,,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","36.11889","-86.68917","182.9","1959",,,"1799",,"1799","0","121","0","78","0","0",,"1","0","0","0","79","0","9","0","195","0","53","0","2","0,0105,","0","T,0,1207,+","1.0",",0,0115,","2.93",",0,1008,","96","0,0825,+","28","0,1106","28","0,1106","18","0,1117","18","0,1117","15","0,1118","26","0,0323","26","0,0323","12","0,0221","12","0,0221","12","0,0221","3805",,"3805","0","48.00",",0",,,"1.2",",0","59.6","0","70.2","0","49.1","0",,,,,,,,,,,,,,,,,,,,,,
