City,Population,SNOW,DATE,YEAR
Corpus Christi ,322726,0.0,1950-01,1950.0
Corpus Christi ,322726,0.0,1950-02,1950.0
Corpus Christi ,322726,0.0,1950-03,1950.0
Corpus Christi ,322726,0.0,1950-04,1950.0
Corpus Christi ,322726,0.0,1950-05,1950.0
Corpus Christi ,322726,0.0,1950-06,1950.0
Corpus Christi ,322726,0.0,1950-07,1950.0
Corpus Christi ,322726,0.0,1950-08,1950.0
Corpus Christi ,322726,0.0,1950-09,1950.0
Corpus Christi ,322726,0.0,1950-10,1950.0
Corpus Christi ,322726,0.0,1950-11,1950.0
Corpus Christi ,322726,0.0,1950-12,1950.0
Corpus Christi ,322726,0.0,1951-01,1951.0
Corpus Christi ,322726,0.0,1951-02,1951.0
Corpus Christi ,322726,0.0,1951-03,1951.0
Corpus Christi ,322726,0.0,1951-04,1951.0
Corpus Christi ,322726,0.0,1951-05,1951.0
Corpus Christi ,322726,0.0,1951-06,1951.0
Corpus Christi ,322726,0.0,1951-07,1951.0
Corpus Christi ,322726,0.0,1951-08,1951.0
Corpus Christi ,322726,0.0,1951-09,1951.0
Corpus Christi ,322726,0.0,1951-10,1951.0
Corpus Christi ,322726,0.0,1951-11,1951.0
Corpus Christi ,322726,0.0,1951-12,1951.0
Corpus Christi ,322726,0.0,1952-01,1952.0
Corpus Christi ,322726,0.0,1952-02,1952.0
Corpus Christi ,322726,0.0,1952-03,1952.0
Corpus Christi ,322726,0.0,1952-04,1952.0
Corpus Christi ,322726,0.0,1952-05,1952.0
Corpus Christi ,322726,0.0,1952-06,1952.0
Corpus Christi ,322726,0.0,1952-07,1952.0
Corpus Christi ,322726,0.0,1952-08,1952.0
Corpus Christi ,322726,0.0,1952-09,1952.0
Corpus Christi ,322726,0.0,1952-10,1952.0
Corpus Christi ,322726,0.0,1952-11,1952.0
Corpus Christi ,322726,0.0,1952-12,1952.0
Corpus Christi ,322726,0.0,1953-01,1953.0
Corpus Christi ,322726,0.0,1953-02,1953.0
Corpus Christi ,322726,0.0,1953-03,1953.0
Corpus Christi ,322726,0.0,1953-04,1953.0
Corpus Christi ,322726,0.0,1953-05,1953.0
Corpus Christi ,322726,0.0,1953-06,1953.0
Corpus Christi ,322726,0.0,1953-07,1953.0
Corpus Christi ,322726,0.0,1953-08,1953.0
Corpus Christi ,322726,0.0,1953-09,1953.0
Corpus Christi ,322726,0.0,1953-10,1953.0
Corpus Christi ,322726,0.0,1953-11,1953.0
Corpus Christi ,322726,0.0,1953-12,1953.0
Corpus Christi ,322726,0.0,1954-01,1954.0
Corpus Christi ,322726,0.0,1954-02,1954.0
Corpus Christi ,322726,0.0,1954-03,1954.0
Corpus Christi ,322726,0.0,1954-04,1954.0
Corpus Christi ,322726,0.0,1954-05,1954.0
Corpus Christi ,322726,0.0,1954-06,1954.0
Corpus Christi ,322726,0.0,1954-07,1954.0
