City,Population,SNOW,DATE
Corpus Christi ,322726,0,1950-01
Corpus Christi ,322726,0,1950-02
Corpus Christi ,322726,0,1950-03
Corpus Christi ,322726,0,1950-04
Corpus Christi ,322726,0,1950-05
Corpus Christi ,322726,0,1950-06
Corpus Christi ,322726,0,1950-07
Corpus Christi ,322726,0,1950-08
Corpus Christi ,322726,0,1950-09
Corpus Christi ,322726,0,1950-10
Corpus Christi ,322726,0,1950-11
Corpus Christi ,322726,0,1950-12
Corpus Christi ,322726,0,1951-01
Corpus Christi ,322726,0,1951-02
Corpus Christi ,322726,0,1951-03
Corpus Christi ,322726,0,1951-04
Corpus Christi ,322726,0,1951-05
Corpus Christi ,322726,0,1951-06
Corpus Christi ,322726,0,1951-07
Corpus Christi ,322726,0,1951-08
Corpus Christi ,322726,0,1951-09
Corpus Christi ,322726,0,1951-10
Corpus Christi ,322726,0,1951-11
Corpus Christi ,322726,0,1951-12
Corpus Christi ,322726,0,1952-01
Corpus Christi ,322726,0,1952-02
Corpus Christi ,322726,0,1952-03
Corpus Christi ,322726,0,1952-04
Corpus Christi ,322726,0,1952-05
Corpus Christi ,322726,0,1952-06
Corpus Christi ,322726,0,1952-07
Corpus Christi ,322726,0,1952-08
Corpus Christi ,322726,0,1952-09
Corpus Christi ,322726,0,1952-10
Corpus Christi ,322726,0,1952-11
Corpus Christi ,322726,0,1952-12
Corpus Christi ,322726,0,1953-01
Corpus Christi ,322726,0,1953-02
Corpus Christi ,322726,0,1953-03
Corpus Christi ,322726,0,1953-04
Corpus Christi ,322726,0,1953-05
Corpus Christi ,322726,0,1953-06
Corpus Christi ,322726,0,1953-07
Corpus Christi ,322726,0,1953-08
Corpus Christi ,322726,0,1953-09
Corpus Christi ,322726,0,1953-10
Corpus Christi ,322726,0,1953-11
Corpus Christi ,322726,0,1953-12
Corpus Christi ,322726,0,1954-01
Corpus Christi ,322726,0,1954-02
Corpus Christi ,322726,0,1954-03
Corpus Christi ,322726,0,1954-04
Corpus Christi ,322726,0,1954-05
Corpus Christi ,322726,0,1954-06
Corpus Christi ,322726,0,1954-07
